,professionalExperience,occupation,genderSpecified,javaExperience,gender,academicExperience,user_id
316,1,Graduate Student,,Yes,Man,6,0aAg9cMttpLPO8WuMz6v
317,2,Graduate Student,,Yes,Man,7,0bycblEY2OvdkiHFMALu
318,0,Graduate Student,,Yes,Man,6,0tXHezQSO4TJl4j9EJzX
320,1,Graduate Student,,Yes,Man,6,2WDBrNfudzKioJhLy0kj
322,0,Graduate Student,,Yes,Man,5,2hohxryaazYnwCaPc6xf
326,0,Graduate Student,,Yes,Woman,3,3J3rAMDmdaycnd5PwWgz
332,3,Working in Academia,,Yes,Man,>8,5H9dzlxzyknJGwzbarSV
334,0,Undergraduate Student,,Yes,Man,7,61EUfStVQAOL4j72VFKE
335,3,Working in Academia,,Yes,Man,20,6TSRxP0QmqGmjb2eQyns
336,5,Working in Academia,,Yes,Woman,10,6meICs11BcPhaKH5KOYf
338,15,Other,,Yes,Man,1,747pHM0imQnMM1SReu5y
339,1,Graduate Student,,Yes,Man,2,74Yck7QewDPwt2UQlcZa
342,20,Professional Developer,,Yes,Man,1,7WARaAOYu0WDD6E0k3RW
348,1,Graduate Student,,Yes,Man,1,8aeVM4TTAhmAI07Y3jDW
356,3,Professional Developer,,Yes,Man,4,BK8XqqtdVw5Yf6hPVy6K
365,2,Professional Developer,,Yes,Man,5,Dc3IPugkT5xFRKe1zL8P
373,3,Professional Developer,,No,Man,0,GFooD4GMY99VKX4TsybQ
375,3,Working in Academia,,Yes,Man,7,GN5GZV7FTWV9y68mfUyt
380,22,Professional Developer,,Yes,Man,"Assuming that APE means ""since when have you been learning to program"": 38",HRDMDd5ghnbfbykA0itv
382,6,Professional Developer,,Yes,Man,Undergrad MS in CS,JCs4IEBzbVcCfEL3F4rP
386,17,Professional Developer,,Yes,Man,5,KaXv5PGnIV5OFof5Wfjj
390,6,Graduate Student,,No,Man,2,LlLmn0aqPB4anBfcxFiS
392,2,Graduate Student,,Yes,Man,8,NAQGK5Zg3Ew5N9jMNaLC
394,2,Professional Developer,,Yes,Man,8,OAiKCL5X9PHnTOL1n4oB
395,2,Professional Developer,,Yes,Man,1,OCbkp1LD2Saxg9lFykTJ
396,6,Professional Developer,,Yes,Man,6,OPdwL3eFlCjEM3YC9ERY
399,0,Undergraduate Student,,Yes,Man,5,OpyAusmpHsVDu1AOlQIs
400,1,Graduate Student,,Yes,Man,6,PAdexIEu1dK4KU73pzhM
405,1,Working in Academia,,Yes,Man,15,QA3ylciNtHoySYQSzLVt
407,2,Graduate Student,,Yes,Woman,2,R40DwJBNgnLiaSHAExUM
408,14,Professional Developer,,Yes,Man,3,RTGqHBjTkY28r0TF7XZj
411,3,Graduate Student,,Yes,Man,7,STuci5eqOjPxAphQPwHd
412,0,Graduate Student,,Yes,Woman,3,T7dg0Qk4bKXgDUXOW1fy
413,0,Undergraduate Student,,Yes,Woman,3,TPsV90U7OvmFne2E5Blv
417,0,Graduate Student,,Yes,Woman,3,UjLHllYXeqxAoTQ4usFD
418,15,Graduate Student,,Yes,Man,5,UoKGYb2XEeX2SBgcdojf
420,3,Graduate Student,,Yes,Man,5,UvzJigZbm35FoT9G2P88
425,10,Working in Academia,,Yes,Man,8,WNEB1GWADop3cbhbVKPq
427,1,Graduate Student,,Yes,Man,1,Xe9Jiclu9Wt8pFaySxXD
435,10,Professional Developer,,Yes,Man,7,YlNrCRSzm9ca8rTIN3og
440,2,Professional Developer,,Yes,Prefer to self describe,2,Zquktfz2TbNHikrJpUAd
443,12,Professional Developer,,Yes,Man,5,aSYgVGUp3jpTQ7g2sOJk
446,3,Professional Developer,,Yes,Man,4,bRSSJtuVhnuhG2Z7EnWz
452,23,Professional Developer,,Yes,Prefer not to disclose,2,d9WrbtGR74qRLmJQdEvs
453,3,Professional Developer,,Yes,Woman,6,dPR5jrXz9wc8eW4j5orO
459,,Graduate Student,,Yes,Woman,3,fCVk8MAnGWNW6hkV00qY
461,"8, the first 5 were java, recently c#",Professional Developer,,Yes,Man,0,fbgSQJyUL1Amb2c6oRiI
462,2,Professional Developer,,Yes,Man,4,fskD6XlmCjKm2kMPnXl9
465,0,Graduate Student,,Yes,Man,8,gOKtAzP0oMuWAYEDOF3n
466,0,Graduate Student,,Yes,Man,1,gijtOxdkuIf4SgiDaHXI
468,1,Graduate Student,,Yes,Woman,6,gmpfD6LaFAjM2cScyazH
469,3,Professional Developer,,Yes,Man,3,gwco2bE4TEA8XLCpxsJ0
471,7,Professional Developer,,No,Woman,3,hSc9bVlUTQElUGKudDXZ
472,2,Graduate Student,,Yes,Man,8,hUP2VzFgd8xIBluad4iB
473,14,Professional Developer,,Yes,Man,3,hsLqYRkRStC0SqhXPl5d
475,3,Professional Developer,,Yes,Man,4,iNAHXGAMveHN2Dr8hsDI
480,0,Undergraduate Student,,Yes,Man,4,jSxmcJB0CDvQJelMiQL5
482,3,Graduate Student,,Yes,Man,6,kT24MIhszBzntO4n7mJt
483,5+,Working in Academia,,Yes,Man,10+,kyi3OScZJOFiMzyFGaAJ
488,4,Undergraduate Student,,Yes,Man,4,m3a5VmFU7S7urEOq7Fbj
492,6,Graduate Student,,Yes,Man,10,nd8wtwq4wq3dKhekKNG4
493,8,Professional Developer,,No,Man,5,no3m4dkLHqGKqSHAL7Yp
495,3,Professional Developer,,Yes,Woman,4,o2h5mkAjOmNY1RAgxGtV
497,8,Professional Developer,,Yes,Man,8,pSB136eaDSQkVJhQzGnx
499,30,Other,,Yes,Man,0,q7uPrVKnWSN3YGYhdGI4
500,10,Professional Developer,,Yes,Man,3,qIWZUWljoKZe0EhZc3nV
503,10,Professional Developer,,Yes,Man,5,qwUOLFHLLvPwcb95yOml
512,3,Undergraduate Student,,Yes,Man,3,vuPBmi2wvNIdPX1PfVJy
513,4,Working in Academia,,Yes,Man,4,wC1jyRbcrzooZv86gNG1
517,0,Undergraduate Student,,Yes,Man,3,xBSB6CTU85gsWM3fu1Y5
532,10,Professional Developer,,Yes,Man,3,22KvSGRRlOWYwqgbL4ix
533,2,Graduate Student,,Yes,Man,4,2A3vufN4i9rjh7rWaFyh
536,4 years,Graduate Student,,Yes,Man,3 years,2qQfiU7dvjbxnhH3uk5V
537,12,Graduate Student,,Yes,Man,7,3AjRjbOgsJTTH32rum8w
538,1,Working in Academia,,Yes,Woman,8,3c8IvYr1u716Rb07ouQQ
539,7,Graduate Student,,Yes,Woman,9,3uOmCCerRqDdaUv2EKCI
542,0,Working in Academia,,Yes,Man,25,4RfTlJA8eHn1KjxgYmC0
543,0,Other,,Yes,Man,1,4bTUXf5wr8916W7TAmyl
544,0,Undergraduate Student,,Yes,Man,7,4vFy2PQCPzpr3GaKtStL
547,1.5,Graduate Student,,Yes,Man,5,5K6WZP9bRHaNYytPegd8
548,1,Working in Academia,,Yes,Man,25,5aL69R4cGufXOgFdiwDZ
549,0,Graduate Student,,Yes,Man,7,5o0BzOf8tB5Nmqq0PZhq
550,10,Other,,Yes,Man,5,6Cm8weQgEFOtTgu3LRbO
551,3,Graduate Student,,Yes,Man,5,6Oma5lQu71VLc6ATavJB
553,8,Graduate Student,,Yes,Woman,8,6VM1Ty0IL1RqSFyq8DBS
554,Zero,Working in Academia,,Yes,Woman,+10,6gJVVpQ8pVt9Gc8jJCiV
558,5,Graduate Student,,Yes,Man,8,7NR8OQqx1QQiCScJezce
560,3,Graduate Student,,Yes,Man,3,8IW1cbyIeOXirC9KOj1h
561,0,Working in Academia,,Yes,Man,19,8cWMHTCDoW4pPRtgGsxl
563,2,Graduate Student,,Yes,Man,6,98z3i5yZtrPFLesPhiGG
565,20,Working in Academia,,Yes,Man,5,9cXBjGdLIeVfAxDPz15t
566,1,Graduate Student,,Yes,Man,5.5,9lsHIqEU05S9FuSeYfje
567,5,Other,,Yes,Man,7,9pJ1vShYwdOU8UQb2Ytf
568,12,Graduate Student,,Yes,Prefer not to disclose,1,AsuPCbpO7wbftRH8EaZ9
569,41,Other,,Yes,Man,27,BP6BYlcXIHOviCBAecDG
570,2,Working in Academia,,Yes,Man,42,BeAO9W4lwF08EAy9rMZz
572,13,Graduate Student,,Yes,Man,10,Buwn3jCbHjCP3fdPfok4
577,2 years,Working in Academia,,Yes,Woman,3 years,DX96h8v4feTX8N8B0O6z
580,5,Working in Academia,,Yes,Man,5,DvGBsy3rQhoGzYCYpOyW
582,0,Graduate Student,,Yes,Woman,4,E0yVLdMEnSemeJrQJi3r
583,4,Professional Developer,,Yes,Man,4,E19RqYhKORUVz15YAJNT
584,0,Working in Academia,,Yes,Prefer not to disclose,10,ENLTcnRq7pHxVGi6I80V
585,"Hard to tell, since I do not work with coding. ",Working in Academia,,Yes,Man,25,EborwT4TWEmbhWWsul97
587,1,Graduate Student,,Yes,Man,5,EqYd60UJZsWg5HG1nOYu
596,,,,,,,FdVsWZg1xCb2HDx4CSxA
598,5,Working in Academia,,Yes,Woman,5,Fq4gMagKjpN7nOzT8xUF
600,,Graduate Student,,Yes,Man,,Ge0yEbBtGnAAVH8y2PYy
601,4,Working in Academia,,Yes,Man,4,GsmNTCwyjPmGBpQTER7Y
602,2,Graduate Student,,Yes,Prefer not to disclose,5,GycJtshGCA9pHa1p5hmt
603,,,,,Woman,,HBg4e9Wo8yR0Cxjq7CvB
604,13,Professional Developer,,No,Man,2,HHWOgcVvCMlLsOQwTKlu
605,5,Professional Developer,,Yes,Man,2,HaJtGy79mlSpz6ced8Rv
606,3,Working in Academia,,Yes,Woman,10,HakHb8XhGk5YsiVFZIdR
609,2,Graduate Student,,Yes,Man,10,I5Uefymq7ArJRht2oIgR
614,13,Working in Academia,,Yes,Non-Binary,3,IdVkr1qUMzlvXabrkXjy
615,0,Graduate Student,,Yes,Man,4.5,Iiohi8pJ0qk5etpRSPmX
620,4,Professional Developer,,No,Man,30,JN2WnugRuU3JVMlJCoFk
622,1,Graduate Student,,Yes,Woman,7,KN4s0ZJu7Ftc2CYAvnW6
623,1,Working in Academia,,Yes,Man,10,KheORshUwbBS6bSFgp2O
624,0,Graduate Student,,Yes,Man,7,KptsCpo0xHaCjbdVcjut
627,0,Graduate Student,,Yes,Man,4,Llmz8QI1EeQ2ltuHIsuM
630,2,Professional Developer,,Yes,Man,10,N0Wt7dOOpR3GliGdo9XT
632,2,Graduate Student,,Yes,Man,4,N7bOqjZjctVQaQRITi0c
633,0,Undergraduate Student,,Yes,Man,2,NIdEjKpTFpn3E4bmalCr
635,2,Professional Developer,,No,Man,2,OVjmOs5xeX0M8mnIdieC
637,0,Graduate Student,,Yes,Man,2,OihW2eBmILzHYe3WduDd
638,1,Working in Academia,,Yes,Man,10,P6bB6yYM2SN4SqvG4ov4
639,,,,,,,QTiIqEmMuWtCu6ustxKd
641,8,Professional Developer,,No,Man,4,Qyp9meIsI0DfREC0v7wV
642,0,Working in Academia,,Yes,Man,15,R9s1kZ3Ad0wkXysyKWIu
643,none,Working in Academia,,Yes,Man,5,RCPPNzQVyDIptmB9cqkI
644,0,Other,,No,Woman,2,RJd0nGSZhsVVB4DLtIEx
645,0,Graduate Student,,Yes,Man,4,ROwE86JOiXSfcLK9rRZ5
647,0,Working in Academia,,Yes,Man,25,S7h77TaGu9vO4UxJiNul
649,15,Working in Academia,,Yes,Man,13,SWFJsUqiJZj2n1MIiqcH
650,0,Working in Academia,,Yes,Man,5,SqCuzmWiDzIcnutktu2D
652,,Working in Academia,,Yes,Man,15,TdNqf3txQpuOZOCFm7qD
654,2,Graduate Student,,No,Man,4,TpUbWhIcGGRAwDJUORQk
655,4,Professional Developer,,Yes,Man,6,U753eBTzPIpXTxyht1A1
657,<1,Graduate Student,,Yes,Man,8,Ua180DvIZupq2nAU72wj
659,,Graduate Student,,Yes,Man,4,UlROnUfptIVKOvVnItOs
660,1,Graduate Student,,Yes,Man,4,VCo3HFgiyVv5UMdQt4p3
661,2,Graduate Student,,Yes,Man,4 ,VEIASWam8JwJZCTh9Fpm
662,10,Graduate Student,,Yes,Man,6,VHOq72nCE0glOazhgD74
663,0,Graduate Student,,Yes,Man,6,VL0eu9iS1J787bjluUut
664,0.5,Undergraduate Student,,Yes,Woman,2,VMjLxkBWeElgl1eM31V5
666,0,Graduate Student,,Yes,Man,3,VfKeOxeB1P2UekF2QUeT
669,10,Professional Developer,,Yes,Man,6,WQHc0FRbllerXiXsvmsW
673,0,Graduate Student,,Yes,Man,6,WdquHFgaoiwJi43Ms429
674,2,Working in Academia,,Yes,Man,15,X0HP4r0PDXpyY5jTOX9B
675,2,Working in Academia,,Yes,Man,11,X4hP4eDxUETM5pkjAjOQ
676,2,Graduate Student,,Yes,Man,7,XFvy1ChD65gtfDauQ3eI
678,,,,,,,XKxTwJuX0iQOZ6Ugv45R
679,0,Graduate Student,,Yes,Man,9,XR6ZTlW6xLUKy0nyTAe9
680,55,Graduate Student,TEST,Yes,Prefer to self describe,22,XSg7MUuDXa7ZJKI4rkrO
682,2,Graduate Student,,Yes,Woman,3,Y2ymiKst4jiVVfTqeBmW
683,no,Working in Academia,,Yes,Woman,more than 10,YLznrodFjw48Kluh7mlA
685,20,Working in Academia,,Yes,Woman,15,Yj6LQXMDANOdvfS2ttBt
686,,Working in Academia,,Yes,Man,15,Yn00SUuBqT8dQE2HtuiS
688,,,,,,,Yu76TK2hAqrsctur4EUk
689,5,Working in Academia,,Yes,Man,12,YvpO5sRN0Gowv42miDNX
690,0,Graduate Student,,Yes,Woman,4,YysosahQfADdXTvCfgoc
691,8,Working in Academia,,Yes,Man,8,Z6NroubrUkexF0pG9cSt
692,0,Working in Academia,,Yes,Man,14,ZAnCEHfIyt2TEHHicPRw
693,6,Professional Developer,,Yes,Man,13,Zfu08dIuWInAu4nIUNDz
698,6,Graduate Student,,Yes,Man,7,bmrBYCnNNuEsKhIMzikX
700,0,Graduate Student,,Yes,Man,6,cQKA2JC8BgDHjWZ1zBQB
701,6,Graduate Student,,Yes,Man,16,cg8NkU8krxbqEG3A46pg
702,14,Professional Developer,,Yes,Man,,cleAq2ioAlfn0f46Mm1C
703,3,Working in Academia,,Yes,Man,17,cuQhqYgprMUVViT96DQm
704,1,Professional Developer,,Yes,Man,6,d6jWXAjuKLkRL7J6ApKn
705,None,Graduate Student,,Yes,Woman,4-5 years,db6FyOwRNmDWlLMuB6GY
707,2,Working in Academia,,Yes,Man,1.5,eL4vT1YKMm5vlmcVWC1y
709,TEST,Professional Developer,,Yes,Woman,TEST,eZFzXOAO0rISvqH4zZzA
711,0,Graduate Student,,No,Man,3,ejGyEzlaAyDROrLeN4My
712,1,Graduate Student,,Yes,Man,4,f725lCiZsiPEeyVrBbLq
713,3,Working in Academia,,Yes,Man,3,fbWf4WnRVFLE1nI1EAo9
715,1,Graduate Student,,Yes,Man,6,fslyVjohF4u2pSiW3MhW
719,0,Working in Academia,,Yes,Man,10,g9xJH8sOQQhzODQkgI6f
725,,Working in Academia,,Yes,Woman,22,hildca3p0hc7x6Zzo4w8
726,0,Undergraduate Student,,Yes,Man,3,hodFxC0Zh7z4CUT3x1Qq
729,7,Graduate Student,,Yes,Man,9,jnV89uMqb1Mj2A1msi8U
731,1,Professional Developer,,Yes,Man,4,jvZX454cqEqzgMxuTPVr
738,0,Graduate Student,,Yes,Woman,4,l7hunVblTuPcE7m9O94I
739,0,Graduate Student,,Yes,Man,10,lA4bTekYoZv3RdexYbJJ
740,2,Graduate Student,,Yes,Man,4,lCPTP0D9yPZNPSinOelY
742,7,Graduate Student,,Yes,Woman,10,lZ2DNxtEcmPEOpmirEUd
743,0.5,Undergraduate Student,,Yes,Woman,4,lcEtQQJJEqyFBpL4gpdH
747,3,Undergraduate Student,,Yes,Man,3,mB2V9fWWVxtImO85m0Y9
748,10,Professional Developer,,Yes,Man,2,mDEmNahiITv9vuVny55d
750,1,Undergraduate Student,,Yes,Man,3,msBYvf40mN7K182gulh3
751,1,Undergraduate Student,,Yes,Non-Binary,6,msNRLXUPiFScVUCZAgJm
752,1,Graduate Student,,Yes,Man,5,n4gs36NizDth5YGJW6S4
757,2,Graduate Student,,Yes,Man,2,oetSWAPsuMrd9trSSnKW
758,0,Graduate Student,,Yes,Woman,3,omOaBF3YuTmhjmmg5vEL
759,2,Professional Developer,,Yes,Man,4,opbIuvNqdAcQ5byEt6xZ
761,,,,,,,p7DjhGUik7gMaA0POBMl
765,1,Working in Academia,,Yes,Man,3,q0j378LGNXs0GiVN40jW
767,1,Working in Academia,,Yes,Man,11,qXpZApZsDZvs6V1beoaB
768,4,Working in Academia,,Yes,Man,5,qY3fRPocJFOTy6AR5oP4
772,1,Working in Academia,,Yes,Woman,20,rIEaQUVyFjLLQnbsVQyi
774,10,Working in Academia,,Yes,Man,18,rX6gQVpnyBkdZyqQpRF0
775,0,Graduate Student,,Yes,Woman,3,ruVJVEEGNraoVbEqkt4P
777,0,Graduate Student,,Yes,Man,6,sgJ5tLeI1zBoENXF5fiW
778,3,Working in Academia,,Yes,Man,7,soo7FGnITKEf0ZpQ3GD1
780,20,Working in Academia,,Yes,Man,15,swX4fy4gvFt67jB5jQ4X
782,0,Working in Academia,,Yes,Man,3,t8Q58CA6780U32ZsMR0T
783,3,Working in Academia,,Yes,Man,2,tHUbYu3L0v8XX4z856S9
788,10,Working in Academia,,Yes,Man,10,uFvTqxK8QTtDdy17GvjJ
790,2,Professional Developer,,Yes,Man,7,unLy4bVh7N8PYlTn4NHc
792,2,Professional Developer,,Yes,Man,6,vED1eKENkemCbW5c6DWQ
794,1,Working in Academia,,Yes,Prefer not to disclose,10,vkoNFkZQrx6if1zMUvcb
795,1,Graduate Student,,Yes,Man,1,vrmnjE3PzAjZCt0UTFqB
797,2+,Working in Academia,,Yes,Man,10+,woP8xAoil46mHlH9HOLs
798,2,Professional Developer,,Yes,Woman,5,wsOTwqJfwvbj9rmKVjdp
799,0,Working in Academia,,Yes,Man,5,xAYgvpZ61WfH1LSnRqWF
800,1,Working in Academia,,Yes,Man,2,xO8hpTrET6cmtyh2yJwI
801,1,Undergraduate Student,,Yes,Man,2,xVDCVfcLkkJ9jWDiyz2P
802,0,Graduate Student,,Yes,Man,3,xf5bZpJlEFxnDVzUvUOJ
803,1,Graduate Student,,Yes,Man,4,yCywdtIE7TBJqxyv7f2z
804,0,Undergraduate Student,,Yes,Man,2,yHkMWMZKqCs8Z1pJGYG3
805,15,Graduate Student,,Yes,Man,10,yTQXTibyjIv1EG1BBAaZ
806,0,Working in Academia,,Yes,Man,15,yU2XWyWQ2FRZGuuYJRL3
807,0,Graduate Student,,No,Woman,3,z9g4k002jw6NYLQEydmy
809,0,Working in Academia,,Yes,Man,7,zEuJqB0HHRxXpH8ibFol
810,,Working in Academia,,Yes,Prefer not to disclose,,znNzgEmHdCmkSURBIugZ
